id,标题,维度,现状(实测),影响面,风险,成本,收益,优先级,关联阶段,处理技能,状态
ISS-01,ORM 无预加载(潜在N+1),性能/DB,7 个 relationship 定义但应用代码 0 处遍历; get_reviews 仅序列化标量列,高,低,低,中,P3,WF-3,sys-db-optimizer,已复核-当前无活跃N+1
ISS-02,后端测试覆盖率过低,可维护性,"line 29.0%(目标70-85%; 九轮补聚焦测试 test_iss02_*.py 共22文件337 passed: 前四轮13个0%模块72-100%(checksum 96%/safe_pickle 96%/risk_thresholds 97% 等); 第五轮 validation_engine 18 passed + warning_service._parse_time_value 9 passed + risk_service_assessment 纯方法 6 passed; 第六轮 review_service 16 passed(to_response/_validate_crisis_transition 状态机) + user_data_service 12 passed(_generate_physio_factors 多维规则/get_history 参数校验); 第七轮首补 app/tasks/* 纯逻辑: model_training 9 passed(_validate_path_param 路径遍历白名单/_job_key) + pdf_report 16 passed(_sanitize_text/_sanitize_param 控制字符清洗/_count_pdf_pages 正则计数) + scheduler 7 passed(_to_aware_utc/_cleanup_uploads_dir_impl 过期文件清理/_cleanup_experiment_artifacts_impl 保留最近N个)。第八轮补 app/tasks/* Celery 包装任务重试/错误处理胶水逻辑(PromiseProxy.__wrapped__ 直接调用原函数体+MagicMock self 注入, 无需真实 DB/celery): alerts/observability/anomaly_detection 共4任务(escalate_pending_alerts/archive_old_alerts/flush_lock_stats/detect_anomaly_access)成功→dict/异常→{error:...} 共8 passed; scheduler _run_async 包装任务8个(daily_risk_scan/stale_warning_reminder/daily_intervention_check/weekly_log_archive/mask_old_ips_task/weekly_risk_assessment_archive/weekly_monitoring_logs_archive/canary_auto_rollback_check)成功→None/异常→传播 MaxRetriesExceededError 共16 passed; scheduler sync 包装任务3个(cleanup_training_jobs/cleanup_uploads_dir/cleanup_experiment_artifacts)成功→None/异常→raise self.retry 共6 passed。合计 celery 包装胶水 30 passed(test_iss02_tasks_celery_wrappers.py)。第九轮补 app/monitoring/* 内实现(numpy-free, 54 passed): silence 100%+dedup 100%+alerting 95.7%+escalation 87.3%+am_sync 84.6%+dedup_lock 63.5%; 0%模块由32降至26。numpy 链模块本地 coverage.py 插桩偶发 SIGSEGV(C-tracer/sysmon 均复现), 覆盖率数值待稳定 CI, 全部聚焦用例 pass/fail 已本地稳定",高,高,高,高,P1,WF-1/WF-3,sys-code-quality,"进行中-九轮补22文件337 passed(checksum/safe_pickle 等已实测96%+; 业务/引擎/tasks/celery包装/monitoring内实现纯逻辑 review_service/user_data_service/validation_engine/model_training/pdf_report/scheduler/celery_wrappers/monitoring 等已补测(含 celery 包装胶水 30 passed + monitoring 54 passed),覆盖%待CI); 整体受20054语句稀释实测29%, 本地聚焦实测行33.2%/分支8.9%"
ISS-03,前端首屏性能不足,性能/前端,"Lighthouse perf 移动端 83/桌面端 99 (原 KPI 基线 53 为 2026-07-11 旧构建, 未含 P1-1 启动屏+去 Google Fonts, 属过期基线; 重测 79, vite.config 将 zrender 移出 vendor 入口 chunk 后升至 83)",高,中,中,高,P1,WF-1,sys-perf-diagnosis,进行中-重测移动83/桌面99,余下至90需非EP登录页或SSR(WF-2/WF-3)
ISS-04,前端 SEO 分低,可维护性/前端,"Lighthouse seo 移动/桌面 100/100 (原 KPI 基线 54 为 2026-07-11 旧构建, 属过期基线; 当前构建重测 91, 补 robots.txt + 显式 favicon 后升至 100)",中,低,低,中,P2,WF-2,sys-perf-diagnosis,"已修复-SEO 100(原54过期基线); WF-2/ISS-15 已消除 EP manualChunks TDZ ReferenceError(errors-in-console→100) + 补 <main> landmark(A11Y 94→100); 详见 ISS-15-前端A11Y与EP-TDZ治理报告.md"
ISS-05,运行期性能基线缺失(P95/P99/QPS),性能,已用 httpx 压测采集: reviews 全链路 p95=46ms/p99=50ms/501QPS; 详见 KPI-基线.json,高,高,中,高,P1,WF-0,sys-load-testing,已采集-本地基线
ISS-06,运行期资源基线缺失(CPU/内存/IO),资源,"已实测(postgres+redis 全栈 60s 负载): 后端 CPU 峰值 15.6% / 稳态 RSS 675.8MB(占主机 4.0%) / 53 线程 / 磁盘 IO 可忽略; ci-postgres 0.69%mem、dws-redis 0.08%mem",高,中,中,中,P1,WF-0,sys-resource-tuning,已采集-postgres+redis 实测
ISS-07,trivy/bandit 实时漏洞扫描未纳入基线,安全,bandit: 0 High/3 Medium/19 Low(B615 已清零); pip-audit(OSV): 139依赖 0 已知CVE; trivy容器实测: postgres:15 42 + gosu 15 + python:3.12.10-slim 60 = 117 HIGH/CRITICAL(多为OS层fix_deferred, snakeoil密钥误报); compose 自动扫描被网络策略阻断已人工审查无硬编码密钥,高,高,低,高,P0,WF-0/WF-1,sys-security-hardening,进行中-三层扫描已实测,容器层117 HIGH/CRITICAL待基础镜像升级
ISS-08,分支覆盖率未启用,可维护性,已在 .coveragerc [run] 启用 branch=True; 子集实测 branch 3.84%(line 28.67%, 152用例); 全量CI套件分支率待补,中,中,低,中,P2,WF-3,sys-code-quality,已修复-已启用分支覆盖,全量待CI
ISS-09,限流/熔断/超时补齐,稳定性,代码复核: 全局默认限流(60/min)+auth/gdpr 严格限流; DB/Celery/ML 均有熔断(db_breaker/celery_breaker/CircuitBreakerOpenError); 全出站调用含 timeout,中,低,低,低,P3,WF-3,sys-reliability,已复核-均已实现,降级为测试加固
ISS-10,前端 any 类型治理,可维护性,"src 应用代码 0 处 any 类型(P1-E 已清除); 基线 'src 46 / 全仓约361' 为原始 any grep 失真, 其中 ~350 为 *.test.ts as any mock(已豁免) + vite-env.d.ts 3 处标准声明(已豁免)",中,低,中,中,P2,WF-2,sys-code-quality,"已复核-无活跃风险(应用代码0 any; 3处.d.ts标准声明+~350处测试mock均已被豁免; 护栏no-explicit-any:warn就位)"
ISS-11,model_engine 6 处延迟导入技术债,可维护性/架构,import-linter 已豁免,低,中,高,低,P3,WF-3,sys-code-quality,待处理
ISS-12,MTTR/可用性 SLO 未量化,稳定性,"根因已定位: 首轮 p95=1.8s 长尾为测试假象(每请求新建连接→localhost 端口耗尽→建连阻塞~2s); 改用连接池后 p50=34/p95=59/p99=298ms/QPS=1156(较首轮11提升100x), 系统健康; 隔离测试禁用 pubsub 后尾延迟一致→偶发~2s尖峰为环境抖动非缺陷。5xx=0/可用性100%(660+57480 请求)。MTTR 仍缺历史事件不可测",高,高,中,高,P1,WF-3,sys-observability,已定位-长尾为测试假象,MTTR 不可测
ISS-14,ws.py pubsub 订阅器崩溃重启循环,稳定性,"redis.exceptions.TimeoutError: Timeout reading from localhost:6379, 约每1s 崩溃重启一次(实测 _uvicorn.log 含 956 次 'pubsub loop crashed'); 与延迟长尾无关但是独立可靠性缺陷(日志刷屏+redis 连接抖动+占用事件循环)",中,中,低,中,P2,WF-3,sys-reliability,"已修复-专用 pubsub 客户端(socket_timeout=None + 独立连接池 + socket_keepalive + health_check_interval=30 + retry_on_timeout), 17单测通过 + 重启实例35s实测0崩溃/0 TimeoutError"
ISS-13,HuggingFace 模型下载未固定 revision,安全,B615: from_pretrained 未 pin revision (experiment_trainer.py:49,83) → 已修复: Hub 下载处显式 revision=settings.model_bert_revision, 本地路径处 # nosec B615; bandit B615 已 0,中,中,低,中,P2,WF-1,sys-security-hardening,已修复-已验证
ISS-15,前端结构治理(A11Y landmark + EP chunk TDZ),可维护性/前端,"Lighthouse 实测: accessibility 100(原94, landmark-one-main 修复)、best-practices 100(原96, errors-in-console 0 错误); App.vue 用 <main> 包裹 router-view + vite.config 将 ep-form-advanced/ep-utility 合并回 element-plus 主 chunk, 消除 EP manualChunks 循环依赖 TDZ(生产 minified ReferenceError)",中,低,低,高,P2,WF-2,sys-perf-diagnosis,"已修复-2026-07-16 Lighthouse 实测(A11Y/BP 移动+桌面均100); 详见 ISS-15-前端A11Y与EP-TDZ治理报告.md"
